subject,verb,score,binary_score,Modality,test,trial_order,Session,Type,typingSpeed,Cloze,WMC,rec_pre,prod_pre,rec_pre_1_2
2,buy,1,0,FTF,priming1,4,session1,non-prime,27.13,28,71,5,1,5
2,burn,1,0,FTF,priming1,10,session1,non-prime,27.13,28,71,5,1,5
2,toast,1,0,FTF,priming1,13,session1,prime,27.13,28,71,5,1,5
2,boil,1,0,FTF,priming1,17,session1,prime,27.13,28,71,5,1,5
2,measure,1,0,FTF,priming1,27,session1,prime,27.13,28,71,5,1,5
2,sprinkle,1,0,FTF,priming1,30,session1,non-prime,27.13,28,71,5,1,5
2,wipe,1,0,FTF,priming1,35,session1,prime,27.13,28,71,5,1,5
2,use,2,0,FTF,priming1,6,session1,non-prime,27.13,28,71,5,1,5
2,sing,2,0,FTF,priming1,7,session1,prime,27.13,28,71,5,1,5
2,brush,2,0,FTF,priming1,8,session1,non-prime,27.13,28,71,5,1,5
2,watch,2,0,FTF,priming1,21,session1,prime,27.13,28,71,5,1,5
2,wear,2,0,FTF,priming1,22,session1,non-prime,27.13,28,71,5,1,5
2,drink,2,0,FTF,priming1,23,session1,prime,27.13,28,71,5,1,5
2,shake,2,0,FTF,priming1,24,session1,non-prime,27.13,28,71,5,1,5
2,pour,2,0,FTF,priming1,25,session1,prime,27.13,28,71,5,1,5
2,insert,2,0,FTF,priming1,26,session1,non-prime,27.13,28,71,5,1,5
2,show,2,0,FTF,priming1,32,session1,non-prime,27.13,28,71,5,1,5
2,vacuum,2,0,FTF,priming2,1,session2,prime,27.13,28,71,5,1,5
2,bring,2,0,FTF,priming2,2,session2,non-prime,27.13,28,71,5,1,5
2,catch,2,0,FTF,priming2,6,session2,non-prime,27.13,28,71,5,1,5
2,polish,2,0,FTF,priming2,8,session2,non-prime,27.13,28,71,5,1,5
2,drive,2,0,FTF,priming2,10,session2,non-prime,27.13,28,71,5,1,5
2,peel,2,0,FTF,priming2,12,session2,non-prime,27.13,28,71,5,1,5
2,lift,2,0,FTF,priming2,14,session2,non-prime,27.13,28,71,5,1,5
2,fly,2,0,FTF,priming2,16,session2,non-prime,27.13,28,71,5,1,5
2,drink,2,0,FTF,priming2,18,session2,non-prime,27.13,28,71,5,1,5
2,cross,2,0,FTF,priming2,22,session2,non-prime,27.13,28,71,5,1,5
2,rake,2,0,FTF,priming2,26,session2,non-prime,27.13,28,71,5,1,5
2,hit,2,0,FTF,priming2,28,session2,non-prime,27.13,28,71,5,1,5
2,raise,2,0,FTF,priming2,30,session2,non-prime,27.13,28,71,5,1,5
2,follow,2,0,FTF,priming2,32,session2,non-prime,27.13,28,71,5,1,5
2,ride,2,0,FTF,priming2,34,session2,non-prime,27.13,28,71,5,1,5
2,pass,2,0,FTF,priming2,36,session2,non-prime,27.13,28,71,5,1,5
2,organize,4,0,FTF,priming1,9,session1,prime,27.13,28,71,5,1,5
2,cut,4,0,FTF,priming1,15,session1,prime,27.13,28,71,5,1,5
2,cook,4,0,FTF,priming1,31,session1,prime,27.13,28,71,5,1,5
2,clean,4,0,FTF,priming2,11,session2,prime,27.13,28,71,5,1,5
2,wash,4,0,FTF,priming2,17,session2,prime,27.13,28,71,5,1,5
2,type,4,0,FTF,priming2,19,session2,prime,27.13,28,71,5,1,5
2,decorate,4,0,FTF,priming2,20,session2,non-prime,27.13,28,71,5,1,5
2,move,4,0,FTF,priming2,24,session2,non-prime,27.13,28,71,5,1,5
2,choose,6,1,FTF,priming2,13,session2,prime,27.13,28,71,5,1,5
2,take,6,1,FTF,priming2,29,session2,prime,27.13,28,71,5,1,5
2,hang,7,1,FTF,priming1,1,session1,prime,27.13,28,71,5,1,5
2,select,7,1,FTF,priming1,5,session1,prime,27.13,28,71,5,1,5
2,stack,7,1,FTF,priming1,11,session1,prime,27.13,28,71,5,1,5
2,read,7,1,FTF,priming1,18,session1,non-prime,27.13,28,71,5,1,5
2,store,7,1,FTF,priming1,19,session1,prime,27.13,28,71,5,1,5
2,put,7,1,FTF,priming1,33,session1,prime,27.13,28,71,5,1,5
2,swipe,7,1,FTF,priming1,34,session1,non-prime,27.13,28,71,5,1,5
2,study,7,1,FTF,priming2,3,session2,prime,27.13,28,71,5,1,5
2,carry,7,1,FTF,priming2,4,session2,non-prime,27.13,28,71,5,1,5
2,perform,7,1,FTF,priming2,5,session2,prime,27.13,28,71,5,1,5
2,print,7,1,FTF,priming2,7,session2,prime,27.13,28,71,5,1,5
2,post,7,1,FTF,priming2,9,session2,prime,27.13,28,71,5,1,5
2,bake,7,1,FTF,priming2,15,session2,prime,27.13,28,71,5,1,5
2,pick,7,1,FTF,priming2,21,session2,prime,27.13,28,71,5,1,5
2,staple,7,1,FTF,priming2,23,session2,prime,27.13,28,71,5,1,5
2,deposit,7,1,FTF,priming2,25,session2,prime,27.13,28,71,5,1,5
2,have,7,1,FTF,priming2,27,session2,prime,27.13,28,71,5,1,5
2,park,7,1,FTF,priming2,31,session2,prime,27.13,28,71,5,1,5
2,stretch,7,1,FTF,priming2,33,session2,prime,27.13,28,71,5,1,5
2,fill,7,1,FTF,priming2,35,session2,prime,27.13,28,71,5,1,5
2,send,10,1,FTF,priming1,20,session1,non-prime,27.13,28,71,5,1,5
4,boil,0,0,FTF,priming1,17,session1,prime,43.9,40,87,5,0,5
4,drink,0,0,FTF,priming1,23,session1,prime,43.9,40,87,5,0,5
4,bring,0,0,FTF,priming2,2,session2,non-prime,43.9,40,87,5,0,5
4,wash,0,0,FTF,priming2,17,session2,prime,43.9,40,87,5,0,5
4,cross,0,0,FTF,priming2,22,session2,non-prime,43.9,40,87,5,0,5
4,grow,2,0,FTF,priming1,2,session1,non-prime,43.9,40,87,5,0,5
4,buy,2,0,FTF,priming1,4,session1,non-prime,43.9,40,87,5,0,5
4,use,2,0,FTF,priming1,6,session1,non-prime,43.9,40,87,5,0,5
4,sing,2,0,FTF,priming1,7,session1,prime,43.9,40,87,5,0,5
4,burn,2,0,FTF,priming1,10,session1,non-prime,43.9,40,87,5,0,5
4,pet,2,0,FTF,priming1,12,session1,non-prime,43.9,40,87,5,0,5
4,need,2,0,FTF,priming1,14,session1,non-prime,43.9,40,87,5,0,5
4,cut,2,0,FTF,priming1,15,session1,prime,43.9,40,87,5,0,5
4,push,2,0,FTF,priming1,16,session1,non-prime,43.9,40,87,5,0,5
4,read,2,0,FTF,priming1,18,session1,non-prime,43.9,40,87,5,0,5
4,send,2,0,FTF,priming1,20,session1,non-prime,43.9,40,87,5,0,5
4,watch,2,0,FTF,priming1,21,session1,prime,43.9,40,87,5,0,5
4,wear,2,0,FTF,priming1,22,session1,non-prime,43.9,40,87,5,0,5
4,shake,2,0,FTF,priming1,24,session1,non-prime,43.9,40,87,5,0,5
4,insert,2,0,FTF,priming1,26,session1,non-prime,43.9,40,87,5,0,5
