subject,verb,score,binary_score,new_score,mod_score,rescale_score,priming_amount,group,modality,condition,test,trial_order,test_order,rec_pre,typingSpeed,cloze,WMC1,WMC2,rec_pre_1_2
43,park,0,0,0,0,1,0,control,CMC,controlCMC,prod1,1,post1,9,30.85,28,45,73,12
43,harvest,0,0,0,0,1,0,control,CMC,controlCMC,prod1,2,post1,9,30.85,28,45,73,12
43,cover,0,0,0,0,1,0,control,CMC,controlCMC,prod1,3,post1,9,30.85,28,45,73,12
43,shave,0,0,0,0,1,0,control,CMC,controlCMC,prod1,4,post1,9,30.85,28,45,73,12
43,lose,0,0,0,0,1,0,control,CMC,controlCMC,prod1,5,post1,9,30.85,28,45,73,12
43,put,0,0,0,0,1,0,control,CMC,controlCMC,prod1,6,post1,9,30.85,28,45,73,12
43,learn,0,0,0,0,1,0,control,CMC,controlCMC,prod1,7,post1,9,30.85,28,45,73,12
43,change,0,0,0,0,1,0,control,CMC,controlCMC,prod1,8,post1,9,30.85,28,45,73,12
43,receive,0,0,0,0,1,0,control,CMC,controlCMC,prod1,9,post1,9,30.85,28,45,73,12
43,hang,0,0,0,0,1,0,control,CMC,controlCMC,prod1,10,post1,9,30.85,28,45,73,12
43,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,post1,9,30.85,28,45,73,12
43,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,post1,9,30.85,28,45,73,12
43,eat,0,0,0,0,1,0,control,CMC,controlCMC,prod3,1,post2,9,30.85,28,45,73,12
43,record,0,0,0,0,1,0,control,CMC,controlCMC,prod3,2,post2,9,30.85,28,45,73,12
43,organize,0,0,0,0,1,0,control,CMC,controlCMC,prod3,3,post2,9,30.85,28,45,73,12
43,display,0,0,0,0,1,0,control,CMC,controlCMC,prod3,4,post2,9,30.85,28,45,73,12
43,wash,0,0,0,0,1,0,control,CMC,controlCMC,prod3,5,post2,9,30.85,28,45,73,12
43,pump,0,0,0,0,1,0,control,CMC,controlCMC,prod3,6,post2,9,30.85,28,45,73,12
43,perform,0,0,0,0,1,0,control,CMC,controlCMC,prod3,7,post2,9,30.85,28,45,73,12
43,stack,0,0,0,0,1,0,control,CMC,controlCMC,prod3,8,post2,9,30.85,28,45,73,12
43,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,post2,9,30.85,28,45,73,12
43,pour,0,0,0,0,1,0,control,CMC,controlCMC,prod3,10,post2,9,30.85,28,45,73,12
43,have,0,0,0,0,1,0,control,CMC,controlCMC,prod3,11,post2,9,30.85,28,45,73,12
43,wipe,0,0,0,0,1,0,control,CMC,controlCMC,prod3,12,post2,9,30.85,28,45,73,12
45,change,0,0,0,0,1,0,control,CMC,controlCMC,prod1,8,a_pre,6,11.87,30,32,64,6
45,hear,0,0,0,0,1,0,control,CMC,controlCMC,prod2,5,post1,6,11.87,30,32,64,6
45,sing,0,0,0,0,1,0,control,CMC,controlCMC,prod2,6,post1,6,11.87,30,32,64,6
45,cut,0,0,0,0,1,0,control,CMC,controlCMC,prod2,7,post1,6,11.87,30,32,64,6
45,vacuum,0,0,0,0,1,0,control,CMC,controlCMC,prod2,10,post1,6,11.87,30,32,64,6
45,scrub,0,0,0,0,1,0,control,CMC,controlCMC,prod2,11,post1,6,11.87,30,32,64,6
45,drink,0,0,0,0,1,0,control,CMC,controlCMC,prod2,12,post1,6,11.87,30,32,64,6
47,study,0,0,0,0,1,0,control,CMC,controlCMC,prod2,4,a_pre,4,30.44,23,39,62,4
47,sing,0,0,0,0,1,0,control,CMC,controlCMC,prod2,6,a_pre,4,30.44,23,39,62,4
47,eat,0,0,0,0,1,0,control,CMC,controlCMC,prod3,1,post1,4,30.44,23,39,62,4
47,record,0,0,0,0,1,0,control,CMC,controlCMC,prod3,2,post1,4,30.44,23,39,62,4
47,organize,0,0,0,0,1,0,control,CMC,controlCMC,prod3,3,post1,4,30.44,23,39,62,4
47,display,0,0,0,0,1,0,control,CMC,controlCMC,prod3,4,post1,4,30.44,23,39,62,4
47,pump,0,0,0,0,1,0,control,CMC,controlCMC,prod3,6,post1,4,30.44,23,39,62,4
47,perform,0,0,0,0,1,0,control,CMC,controlCMC,prod3,7,post1,4,30.44,23,39,62,4
47,stack,0,0,0,0,1,0,control,CMC,controlCMC,prod3,8,post1,4,30.44,23,39,62,4
47,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,post1,4,30.44,23,39,62,4
47,pour,0,0,0,0,1,0,control,CMC,controlCMC,prod3,10,post1,4,30.44,23,39,62,4
47,have,0,0,0,0,1,0,control,CMC,controlCMC,prod3,11,post1,4,30.44,23,39,62,4
47,wipe,0,0,0,0,1,0,control,CMC,controlCMC,prod3,12,post1,4,30.44,23,39,62,4
